dist|perl-5.31.0.author|perl-5.31.0.distname|perl-5.31.0.distversion|perl-5.31.0.grade|perl-5.31.1.author|perl-5.31.1.distname|perl-5.31.1.distversion|perl-5.31.1.grade
DBIx-Class-Migration|ETJ|DBIx-Class-Migration-0.074|0.074|PASS|ETJ|DBIx-Class-Migration-0.074|0.074|PASS
DBIx-Class-PassphraseColumn|ETHER|DBIx-Class-PassphraseColumn-0.03|0.03|PASS|ETHER|DBIx-Class-PassphraseColumn-0.03|0.03|PASS
DBIx-Class-QueryLog|FREW|DBIx-Class-QueryLog-1.005001|1.005001|PASS|FREW|DBIx-Class-QueryLog-1.005001|1.005001|PASS
DBIx-Class-ResultSet-RecursiveUpdate|GSHANK|DBIx-Class-ResultSet-RecursiveUpdate-0.34|0.34|PASS|GSHANK|DBIx-Class-ResultSet-RecursiveUpdate-0.34|0.34|PASS
DBIx-Class-Schema-Config|SYMKAT|DBIx-Class-Schema-Config-0.001013|0.001013|PASS|SYMKAT|DBIx-Class-Schema-Config-0.001013|0.001013|PASS
DBIx-Class-Schema-Loader|ILMARI|DBIx-Class-Schema-Loader-0.07049|0.07049|PASS|ILMARI|DBIx-Class-Schema-Loader-0.07049|0.07049|PASS
DBIx-Class-Schema-PopulateMore|JJNAPIORK|DBIx-Class-Schema-PopulateMore-0.19|0.19|PASS|JJNAPIORK|DBIx-Class-Schema-PopulateMore-0.19|0.19|PASS
DBIx-Class-TimeStamp|RIBASUSHI|DBIx-Class-TimeStamp-0.14|0.14|PASS|RIBASUSHI|DBIx-Class-TimeStamp-0.14|0.14|PASS
DBIx-Class-Tree|ABRAXXA|DBIx-Class-Tree-0.03003|0.03003|PASS|ABRAXXA|DBIx-Class-Tree-0.03003|0.03003|PASS
DBIx-Class-UUIDColumns|ABRAXXA|DBIx-Class-UUIDColumns-0.02006|0.02006|PASS|ABRAXXA|DBIx-Class-UUIDColumns-0.02006|0.02006|PASS
DBIx-Connector|DWHEELER|DBIx-Connector-0.56|0.56|PASS|DWHEELER|DBIx-Connector-0.56|0.56|PASS
DBIx-ContextualFetch|TMTM|DBIx-ContextualFetch-1.03|1.03|PASS|TMTM|DBIx-ContextualFetch-1.03|1.03|PASS
DBIx-DBSchema|IVAN|DBIx-DBSchema-0.45|0.45|PASS|IVAN|DBIx-DBSchema-0.45|0.45|PASS
DBIx-Inspector|TOKUHIROM|DBIx-Inspector-0.12|0.12|PASS|TOKUHIROM|DBIx-Inspector-0.12|0.12|PASS
DBIx-Introspector|FREW|DBIx-Introspector-0.001005|0.001005|PASS|FREW|DBIx-Introspector-0.001005|0.001005|PASS
DBIx-RunSQL|CORION|DBIx-RunSQL-0.21|0.21|PASS|CORION|DBIx-RunSQL-0.21|0.21|PASS
DBIx-Simple|JUERD|DBIx-Simple-1.37|1.37|PASS|JUERD|DBIx-Simple-1.37|1.37|PASS
DBIx-Sunny|SONGMU|DBIx-Sunny-0.9991|0.9991|PASS|SONGMU|DBIx-Sunny-0.9991|0.9991|PASS
DBIx-Tracer|TOKUHIROM|DBIx-Tracer-0.03|0.03|PASS|TOKUHIROM|DBIx-Tracer-0.03|0.03|PASS
DBIx-TransactionManager|NEKOKAK|DBIx-TransactionManager-1.13|1.13|PASS|NEKOKAK|DBIx-TransactionManager-1.13|1.13|PASS
DBM-Deep|SPROUT|DBM-Deep-2.0016|2.0016|PASS|SPROUT|DBM-Deep-2.0016|2.0016|PASS
Daemon-Control|SYMKAT|Daemon-Control-0.001010|0.001010|PASS|SYMKAT|Daemon-Control-0.001010|0.001010|PASS
Daemon-Daemonize|ROKR|Daemon-Daemonize-0.0052|0.0052|PASS|ROKR|Daemon-Daemonize-0.0052|0.0052|PASS
Dancer|BIGPRESH|Dancer-1.3512|1.3512|PASS|BIGPRESH|Dancer-1.3512|1.3512|PASS
Dancer-Plugin-DBIC|IRONCAMEL|Dancer-Plugin-DBIC-0.2104|0.2104|PASS|IRONCAMEL|Dancer-Plugin-DBIC-0.2104|0.2104|PASS
Dancer-Plugin-Database|BIGPRESH|Dancer-Plugin-Database-2.13|2.13|PASS|BIGPRESH|Dancer-Plugin-Database-2.13|2.13|PASS
Dancer-Plugin-Database-Core|BIGPRESH|Dancer-Plugin-Database-Core-0.20|0.20|PASS|BIGPRESH|Dancer-Plugin-Database-Core-0.20|0.20|PASS
Dancer-Plugin-REST|YANICK|Dancer-Plugin-REST-0.11|0.11|PASS|YANICK|Dancer-Plugin-REST-0.11|0.11|PASS
Dancer2|CROMEDOME|Dancer2-0.208000|0.208000|PASS|CROMEDOME|Dancer2-0.208000|0.208000|PASS
Dancer2-Plugin-Auth-Extensible|ABEVERLEY|Dancer2-Plugin-Auth-Extensible-0.708|0.708|PASS|ABEVERLEY|Dancer2-Plugin-Auth-Extensible-0.708|0.708|PASS
Danga-Socket|BRADFITZ|Danga-Socket-1.61|1.61|PASS|BRADFITZ|Danga-Socket-1.61|1.61|PASS
Data-Alias|ZEFRAM|Data-Alias-1.21|1.21|PASS|ZEFRAM|Data-Alias-1.21|1.21|PASS
Data-Binary|SNKWATT|Data-Binary-0.01|0.01|PASS|SNKWATT|Data-Binary-0.01|0.01|PASS
Data-Bitfield|PEVANS|Data-Bitfield-0.03|0.03|PASS|PEVANS|Data-Bitfield-0.03|0.03|PASS
Data-Clone|GFUJI|Data-Clone-0.004|0.004|PASS|GFUJI|Data-Clone-0.004|0.004|PASS
Data-Compare|DCANTRELL|Data-Compare-1.25|1.25|PASS|DCANTRELL|Data-Compare-1.25|1.25|PASS
Data-Container|MARCEL|Data-Container-1.100840|1.100840|PASS|MARCEL|Data-Container-1.100840|1.100840|PASS
Data-Currency|DICHI|Data-Currency-0.06000|0.06000|PASS|DICHI|Data-Currency-0.06000|0.06000|PASS
Data-DPath|SCHWIGON|Data-DPath-0.57|0.57|PASS|SCHWIGON|Data-DPath-0.57|0.57|PASS
Data-Denter|INGY|Data-Denter-0.15|0.15|PASS|INGY|Data-Denter-0.15|0.15|PASS
Data-Difflet|TOKUHIROM|Data-Difflet-0.11|0.11|PASS|TOKUHIROM|Data-Difflet-0.11|0.11|PASS
Data-Diver|TYEMQ|Data-Diver-1.0101|1.0101|PASS|TYEMQ|Data-Diver-1.0101|1.0101|PASS
Data-Domain|DAMI|Data-Domain-1.06|1.06|PASS|DAMI|Data-Domain-1.06|1.06|PASS
Data-Dump|GAAS|Data-Dump-1.23|1.23|PASS|GAAS|Data-Dump-1.23|1.23|PASS
Data-Dump-Streamer|YVES|Data-Dump-Streamer-2.40|2.40|PASS|YVES|Data-Dump-Streamer-2.40|2.40|PASS
Data-Dumper-Concise|ETHER|Data-Dumper-Concise-2.023|2.023|PASS|ETHER|Data-Dumper-Concise-2.023|2.023|PASS
Data-Edit-Xml|PRBRENAN|Data-Edit-Xml-20190708|20190708|PASS|PRBRENAN|Data-Edit-Xml-20190708|20190708|PASS
Data-Entropy|ZEFRAM|Data-Entropy-0.007|0.007|PASS|ZEFRAM|Data-Entropy-0.007|0.007|PASS
Data-Faker|WSHELDAHL|Data-Faker-0.10|0.10|PASS|WSHELDAHL|Data-Faker-0.10|0.10|PASS
Data-Float|ZEFRAM|Data-Float-0.013|0.013|PASS|ZEFRAM|Data-Float-0.013|0.013|PASS
Data-FormValidator|DFARRELL|Data-FormValidator-4.88|4.88|PASS|DFARRELL|Data-FormValidator-4.88|4.88|PASS
Data-FormValidator-Constraints-Words|BARBIE|Data-FormValidator-Constraints-Words-0.10|0.10|PASS|BARBIE|Data-FormValidator-Constraints-Words-0.10|0.10|PASS
Data-FormValidator-Filters-Demoroniser|BARBIE|Data-FormValidator-Filters-Demoroniser-0.05|0.05|PASS|BARBIE|Data-FormValidator-Filters-Demoroniser-0.05|0.05|PASS
Data-GUID|RJBS|Data-GUID-0.049|0.049|PASS|RJBS|Data-GUID-0.049|0.049|PASS
Data-Hexdumper|DCANTRELL|Data-Hexdumper-3.0001|3.0001|PASS|DCANTRELL|Data-Hexdumper-3.0001|3.0001|PASS
Data-Hierarchy|CLKAO|Data-Hierarchy-0.34|0.34|PASS|CLKAO|Data-Hierarchy-0.34|0.34|PASS
Data-ICal|ALEXMV|Data-ICal-0.22|0.22|PASS|ALEXMV|Data-ICal-0.22|0.22|PASS
Data-IEEE754|MAXMIND|Data-IEEE754-0.02|0.02|PASS|MAXMIND|Data-IEEE754-0.02|0.02|PASS
Data-Inherited|MARCEL|Data-Inherited-1.100860|1.100860|PASS|MARCEL|Data-Inherited-1.100860|1.100860|PASS
Data-Integer|ZEFRAM|Data-Integer-0.006|0.006|PASS|ZEFRAM|Data-Integer-0.006|0.006|PASS
Data-JavaScript-Anon|ADAMK|Data-JavaScript-Anon-1.03|1.03|PASS|ADAMK|Data-JavaScript-Anon-1.03|1.03|PASS
Data-Localize|DMAKI|Data-Localize-0.00027|0.00027|PASS|DMAKI|Data-Localize-0.00027|0.00027|PASS
Data-Lock|DANKOGAI|Data-Lock-1.03|1.03|PASS|DANKOGAI|Data-Lock-1.03|1.03|PASS
Data-MessagePack|SYOHEX|Data-MessagePack-1.00|1.00|PASS|SYOHEX|Data-MessagePack-1.00|1.00|PASS
Data-MessagePack-Stream|TYPESTER|Data-MessagePack-Stream-1.04|1.04|PASS|TYPESTER|Data-MessagePack-Stream-1.04|1.04|PASS
Data-MethodProxy|BLUEFEET|Data-MethodProxy-0.04|0.04|PASS|BLUEFEET|Data-MethodProxy-0.04|0.04|PASS
Data-Miscellany|MARCEL|Data-Miscellany-1.100850|1.100850|PASS|MARCEL|Data-Miscellany-1.100850|1.100850|PASS
Data-Munge|MAUKE|Data-Munge-0.097|0.097|PASS|MAUKE|Data-Munge-0.097|0.097|PASS
Data-Object|AWNCORP|Data-Object-0.96|0.96|PASS|AWNCORP|Data-Object-0.96|0.96|PASS
Data-ObjectDriver|SIXAPART|Data-ObjectDriver-0.18|0.18|PASS|SIXAPART|Data-ObjectDriver-0.18|0.18|PASS
Data-OptList|RJBS|Data-OptList-0.110|0.110|PASS|RJBS|Data-OptList-0.110|0.110|PASS
Data-Page|ETHER|Data-Page-2.03|2.03|PASS|ETHER|Data-Page-2.03|2.03|PASS
Data-Page-NoTotalEntries|TOKUHIROM|Data-Page-NoTotalEntries-0.02|0.02|PASS|TOKUHIROM|Data-Page-NoTotalEntries-0.02|0.02|PASS
Data-Pageset|LLAP|Data-Pageset-1.06|1.06|PASS|LLAP|Data-Pageset-1.06|1.06|PASS
Data-Pairs|BBAXTER|Data-Pairs-0.07|0.07|PASS|BBAXTER|Data-Pairs-0.07|0.07|PASS
Data-Peek|HMBRAND|Data-Peek-0.48|0.48|PASS|HMBRAND|Data-Peek-0.48|0.48|PASS
Data-Perl|MATTP|Data-Perl-0.002009|0.002009|PASS|MATTP|Data-Perl-0.002009|0.002009|PASS
Data-Phrasebook|BARBIE|Data-Phrasebook-0.35|0.35|PASS|BARBIE|Data-Phrasebook-0.35|0.35|PASS
Data-Phrasebook-Loader-Ini|BARBIE|Data-Phrasebook-Loader-Ini-0.14|0.14|PASS|BARBIE|Data-Phrasebook-Loader-Ini-0.14|0.14|PASS
Data-Printer|GARU|Data-Printer-0.40|0.40|PASS|GARU|Data-Printer-0.40|0.40|PASS
Data-Random|BAREFOOT|Data-Random-0.13|0.13|PASS|BAREFOOT|Data-Random-0.13|0.13|PASS
Data-Recursive-Encode|TOKUHIROM|Data-Recursive-Encode-0.07|0.07|PASS|TOKUHIROM|Data-Recursive-Encode-0.07|0.07|PASS
Data-Result|AKALINUX|Data-Result-1.0003|1.0003|PASS|AKALINUX|Data-Result-1.0003|1.0003|PASS
Data-Rmap|BOWMANBS|Data-Rmap-0.65|0.65|PASS|BOWMANBS|Data-Rmap-0.65|0.65|PASS
Data-Rx|RJBS|Data-Rx-0.200007|0.200007|PASS|RJBS|Data-Rx-0.200007|0.200007|PASS
Data-Section|RJBS|Data-Section-0.200007|0.200007|PASS|RJBS|Data-Section-0.200007|0.200007|PASS
Data-Section-Simple|MIYAGAWA|Data-Section-Simple-0.07|0.07|PASS|MIYAGAWA|Data-Section-Simple-0.07|0.07|PASS
Data-Semantic|MARCEL|Data-Semantic-1.101620|1.101620|PASS|MARCEL|Data-Semantic-1.101620|1.101620|PASS
Data-Serializer|NEELY|Data-Serializer-0.60|0.60|PASS|NEELY|Data-Serializer-0.60|0.60|PASS
Data-Stag|CMUNGALL|Data-Stag-0.14|0.14|PASS|CMUNGALL|Data-Stag-0.14|0.14|PASS
Data-Stream-Bulk|DOY|Data-Stream-Bulk-0.11|0.11|PASS|DOY|Data-Stream-Bulk-0.11|0.11|PASS
Data-Structure-Util|ANDYA|Data-Structure-Util-0.16|0.16|PASS|ANDYA|Data-Structure-Util-0.16|0.16|PASS
Data-Swap|XMATH|Data-Swap-0.08|0.08|NA|XMATH|Data-Swap-0.08|0.08|NA
Data-Table-Text|PRBRENAN|Data-Table-Text-20190708|20190708|PASS|PRBRENAN|Data-Table-Text-20190708|20190708|PASS
Data-Transformer|BALDUR|Data-Transformer-0.04|0.04|PASS|BALDUR|Data-Transformer-0.04|0.04|PASS
Data-Transpose|HORNBURG|Data-Transpose-0.0023|0.0023|PASS|HORNBURG|Data-Transpose-0.0023|0.0023|PASS
Data-Tree|TEX|Data-Tree-0.16|0.16|PASS|TEX|Data-Tree-0.16|0.16|PASS
Data-TreeDumper|NKH|Data-TreeDumper-0.40|0.40|PASS|NKH|Data-TreeDumper-0.40|0.40|PASS
Data-Types|MANWAR|Data-Types-0.17|0.17|PASS|MANWAR|Data-Types-0.17|0.17|PASS
Data-UUID|RJBS|Data-UUID-1.224|1.224|PASS|RJBS|Data-UUID-1.224|1.224|PASS
Data-UUID-MT|DAGOLDEN|Data-UUID-MT-1.001|1.001|PASS|DAGOLDEN|Data-UUID-MT-1.001|1.001|PASS
Data-Util|SYOHEX|Data-Util-0.66|0.66|PASS|SYOHEX|Data-Util-0.66|0.66|PASS
Data-Validate|SONNEN|Data-Validate-0.09|0.09|PASS|SONNEN|Data-Validate-0.09|0.09|PASS
Data-Validate-Domain|DROLSKY|Data-Validate-Domain-0.14|0.14|PASS|DROLSKY|Data-Validate-Domain-0.14|0.14|PASS
Data-Validate-IP|DROLSKY|Data-Validate-IP-0.27|0.27|PASS|DROLSKY|Data-Validate-IP-0.27|0.27|PASS
Data-Validate-Type|AUBERTG|Data-Validate-Type-v1.6.0|v1.6.0|PASS|AUBERTG|Data-Validate-Type-v1.6.0|v1.6.0|PASS
Data-Validate-URI|SONNEN|Data-Validate-URI-0.07|0.07|PASS|SONNEN|Data-Validate-URI-0.07|0.07|PASS
Data-Validate-WithYAML|RENEEB|Data-Validate-WithYAML-0.18|0.18|PASS|RENEEB|Data-Validate-WithYAML-0.18|0.18|PASS
Data-Validator|GFUJI|Data-Validator-1.07|1.07|PASS|GFUJI|Data-Validator-1.07|1.07|PASS
Data-Verifier|MANWAR|Data-Verifier-0.63|0.63|PASS|MANWAR|Data-Verifier-0.63|0.63|PASS
Data-Visitor|DOY|Data-Visitor-0.30|0.30|PASS|DOY|Data-Visitor-0.30|0.30|PASS
Data-Walk|GUIDO|Data-Walk-2.01|2.01|PASS|GUIDO|Data-Walk-2.01|2.01|PASS
Data-YAML|ANDYA|Data-YAML-0.0.7|0.0.7|PASS|ANDYA|Data-YAML-0.0.7|0.0.7|PASS
DataFlow|RUSSOZ|DataFlow-1.121830|1.121830|PASS|RUSSOZ|DataFlow-1.121830|1.121830|PASS
DataStruct-Flat|JLMARTIN|DataStruct-Flat-0.01|0.01|PASS|JLMARTIN|DataStruct-Flat-0.01|0.01|PASS
Date-Calc|STBEY|Date-Calc-6.4|6.4|PASS|STBEY|Date-Calc-6.4|6.4|PASS
Date-Easter|RBOW|Date-Easter-1.22|1.22|PASS|RBOW|Date-Easter-1.22|1.22|PASS
Date-Exception|MANWAR|Date-Exception-0.07|0.07|PASS|MANWAR|Date-Exception-0.07|0.07|PASS
Date-Holidays-Super|JONASBN|Date-Holidays-Super-0.04|0.04|PASS|JONASBN|Date-Holidays-Super-0.04|0.04|PASS
Date-ISO8601|ZEFRAM|Date-ISO8601-0.005|0.005|PASS|ZEFRAM|Date-ISO8601-0.005|0.005|PASS
Date-Leapyear|RBOW|Date-Leapyear-1.72|1.72|PASS|RBOW|Date-Leapyear-1.72|1.72|PASS
Date-Manip|SBECK|Date-Manip-6.77|6.77|PASS|SBECK|Date-Manip-6.77|6.77|PASS
Date-Range|TMTM|Date-Range-1.41|1.41|PASS|TMTM|Date-Range-1.41|1.41|PASS
Date-Simple|IZUT|Date-Simple-3.03|3.03|PASS|IZUT|Date-Simple-3.03|3.03|PASS
Date-Utils|MANWAR|Date-Utils-0.26|0.26|PASS|MANWAR|Date-Utils-0.26|0.26|PASS
DateTime|DROLSKY|DateTime-1.51|1.51|PASS|DROLSKY|DateTime-1.51|1.51|PASS
DateTime-Astro|DMAKI|DateTime-Astro-1.03|1.03|PASS|DMAKI|DateTime-Astro-1.03|1.03|PASS
DateTime-Calendar-Julian|WYANT|DateTime-Calendar-Julian-0.100|0.100|PASS|WYANT|DateTime-Calendar-Julian-0.100|0.100|PASS
DateTime-Event-Cron|MSISK|DateTime-Event-Cron-0.09|0.09|PASS|MSISK|DateTime-Event-Cron-0.09|0.09|PASS
DateTime-Event-ICal|FGLOCK|DateTime-Event-ICal-0.13|0.13|PASS|FGLOCK|DateTime-Event-ICal-0.13|0.13|PASS
DateTime-Event-Random|FGLOCK|DateTime-Event-Random-0.03|0.03|PASS|FGLOCK|DateTime-Event-Random-0.03|0.03|PASS
DateTime-Event-Recurrence|FGLOCK|DateTime-Event-Recurrence-0.19|0.19|PASS|FGLOCK|DateTime-Event-Recurrence-0.19|0.19|PASS
DateTime-Event-Sunrise|JFORGET|DateTime-Event-Sunrise-0.0505|0.0505|PASS|JFORGET|DateTime-Event-Sunrise-0.0505|0.0505|PASS
DateTime-Format-Atom|IKEGAMI|DateTime-Format-Atom-v1.2.0|v1.2.0|PASS|IKEGAMI|DateTime-Format-Atom-v1.2.0|v1.2.0|PASS
DateTime-Format-Builder|DROLSKY|DateTime-Format-Builder-0.82|0.82|PASS|DROLSKY|DateTime-Format-Builder-0.82|0.82|PASS
DateTime-Format-DBI|CFAERBER|DateTime-Format-DBI-0.041|0.041|PASS|CFAERBER|DateTime-Format-DBI-0.041|0.041|PASS
DateTime-Format-DateManip|BBENNETT|DateTime-Format-DateManip-0.04|0.04|PASS|BBENNETT|DateTime-Format-DateManip-0.04|0.04|PASS
DateTime-Format-DateParse|JHOBLITT|DateTime-Format-DateParse-0.05|0.05|PASS|JHOBLITT|DateTime-Format-DateParse-0.05|0.05|PASS
DateTime-Format-Duration|ETHER|DateTime-Format-Duration-1.04|1.04|PASS|ETHER|DateTime-Format-Duration-1.04|1.04|PASS
DateTime-Format-Epoch|CHORNY|DateTime-Format-Epoch-0.16|0.16|PASS|CHORNY|DateTime-Format-Epoch-0.16|0.16|PASS
DateTime-Format-Flexible|THINC|DateTime-Format-Flexible-0.31|0.31|PASS|THINC|DateTime-Format-Flexible-0.31|0.31|PASS
DateTime-Format-HTTP|CKRAS|DateTime-Format-HTTP-0.42|0.42|PASS|CKRAS|DateTime-Format-HTTP-0.42|0.42|PASS
DateTime-Format-Human-Duration|MSTRAT|DateTime-Format-Human-Duration-0.64|0.64|PASS|MSTRAT|DateTime-Format-Human-Duration-0.64|0.64|PASS
DateTime-Format-ICal|DROLSKY|DateTime-Format-ICal-0.09|0.09|PASS|DROLSKY|DateTime-Format-ICal-0.09|0.09|PASS
DateTime-Format-ISO8601|JHOBLITT|DateTime-Format-ISO8601-0.08|0.08|PASS|JHOBLITT|DateTime-Format-ISO8601-0.08|0.08|PASS
DateTime-Format-Mail|BOOK|DateTime-Format-Mail-0.403|0.403|PASS|BOOK|DateTime-Format-Mail-0.403|0.403|PASS
DateTime-Format-MySQL|XMIKEW|DateTime-Format-MySQL-0.06|0.06|PASS|XMIKEW|DateTime-Format-MySQL-0.06|0.06|PASS
DateTime-Format-Natural|SCHUBIGER|DateTime-Format-Natural-1.07|1.07|PASS|SCHUBIGER|DateTime-Format-Natural-1.07|1.07|PASS
DateTime-Format-Oracle|KOLIBRIE|DateTime-Format-Oracle-0.06|0.06|PASS|KOLIBRIE|DateTime-Format-Oracle-0.06|0.06|PASS
DateTime-Format-Pg|DMAKI|DateTime-Format-Pg-0.16013|0.16013|PASS|DMAKI|DateTime-Format-Pg-0.16013|0.16013|PASS
DateTime-Format-RFC3339|IKEGAMI|DateTime-Format-RFC3339-v1.2.0|v1.2.0|PASS|IKEGAMI|DateTime-Format-RFC3339-v1.2.0|v1.2.0|PASS
DateTime-Format-SQLite|CFAERBER|DateTime-Format-SQLite-0.11|0.11|PASS|CFAERBER|DateTime-Format-SQLite-0.11|0.11|PASS
DateTime-Format-Strptime|DROLSKY|DateTime-Format-Strptime-1.76|1.76|PASS|DROLSKY|DateTime-Format-Strptime-1.76|1.76|PASS
DateTime-Format-W3CDTF|GWILLIAMS|DateTime-Format-W3CDTF-0.07|0.07|PASS|GWILLIAMS|DateTime-Format-W3CDTF-0.07|0.07|PASS
DateTime-Format-XSD|DRUOSO|DateTime-Format-XSD-0.2|0.2|PASS|DRUOSO|DateTime-Format-XSD-0.2|0.2|PASS
DateTime-Incomplete|FGLOCK|DateTime-Incomplete-0.08|0.08|PASS|FGLOCK|DateTime-Incomplete-0.08|0.08|PASS
DateTime-Locale|DROLSKY|DateTime-Locale-1.24|1.24|PASS|DROLSKY|DateTime-Locale-1.24|1.24|PASS
DateTime-Set|FGLOCK|DateTime-Set-0.3900|0.3900|PASS|FGLOCK|DateTime-Set-0.3900|0.3900|PASS
DateTime-TimeZone|DROLSKY|DateTime-TimeZone-2.36|2.36|PASS|DROLSKY|DateTime-TimeZone-2.36|2.36|PASS
DateTime-TimeZone-SystemV|ZEFRAM|DateTime-TimeZone-SystemV-0.010|0.010|PASS|ZEFRAM|DateTime-TimeZone-SystemV-0.010|0.010|PASS
DateTime-TimeZone-Tzfile|ZEFRAM|DateTime-TimeZone-Tzfile-0.011|0.011|PASS|ZEFRAM|DateTime-TimeZone-Tzfile-0.011|0.011|PASS
DateTime-Tiny|DAGOLDEN|DateTime-Tiny-1.07|1.07|PASS|DAGOLDEN|DateTime-Tiny-1.07|1.07|PASS
DateTimeX-Easy|ROKR|DateTimeX-Easy-0.089|0.089|PASS|ROKR|DateTimeX-Easy-0.089|0.089|PASS
Debug-Client|MANWAR|Debug-Client-0.31|0.31|PASS|MANWAR|Debug-Client-0.31|0.31|PASS
Devel-Autoflush|DAGOLDEN|Devel-Autoflush-0.06|0.06|PASS|DAGOLDEN|Devel-Autoflush-0.06|0.06|PASS
Devel-Backtrace|PEPE|Devel-Backtrace-0.12|0.12|PASS|PEPE|Devel-Backtrace-0.12|0.12|PASS
Devel-CallChecker|ZEFRAM|Devel-CallChecker-0.008|0.008|PASS|ZEFRAM|Devel-CallChecker-0.008|0.008|PASS
Devel-CallParser|ZEFRAM|Devel-CallParser-0.002|0.002|PASS|ZEFRAM|Devel-CallParser-0.002|0.002|PASS
Devel-Caller|RCLAMP|Devel-Caller-2.06|2.06|PASS|RCLAMP|Devel-Caller-2.06|2.06|PASS
Devel-Caller-Perl|CWEST|Devel-Caller-Perl-1.4|1.4|PASS|CWEST|Devel-Caller-Perl-1.4|1.4|PASS
Devel-Callsite|ROCKY|Devel-Callsite-1.0.1|1.0.1|PASS|ROCKY|Devel-Callsite-1.0.1|1.0.1|PASS
Devel-CheckBin|TOKUHIROM|Devel-CheckBin-0.04|0.04|PASS|TOKUHIROM|Devel-CheckBin-0.04|0.04|PASS
Devel-CheckCompiler|SYOHEX|Devel-CheckCompiler-0.07|0.07|PASS|SYOHEX|Devel-CheckCompiler-0.07|0.07|PASS
Devel-CheckLib|MATTN|Devel-CheckLib-1.13|1.13|PASS|MATTN|Devel-CheckLib-1.13|1.13|PASS
Devel-CheckOS|DCANTRELL|Devel-CheckOS-1.81|1.81|PASS|DCANTRELL|Devel-CheckOS-1.81|1.81|PASS
Devel-Confess|HAARG|Devel-Confess-0.009004|0.009004|PASS|HAARG|Devel-Confess-0.009004|0.009004|PASS
Devel-Cover|PJCJ|Devel-Cover-1.33|1.33|PASS|PJCJ|Devel-Cover-1.33|1.33|PASS
Devel-Cover-Report-Coveralls|MIKIHOSHI|Devel-Cover-Report-Coveralls-0.11|0.11|PASS|MIKIHOSHI|Devel-Cover-Report-Coveralls-0.11|0.11|PASS
Devel-Cycle|LDS|Devel-Cycle-1.12|1.12|PASS|LDS|Devel-Cycle-1.12|1.12|PASS
Devel-Declare|ETHER|Devel-Declare-0.006019|0.006019|PASS|ETHER|Devel-Declare-0.006019|0.006019|PASS
Devel-Declare-Parser|EXODIST|Devel-Declare-Parser-0.020|0.020|PASS|EXODIST|Devel-Declare-Parser-0.020|0.020|PASS
Devel-Dumpvar|ADAMK|Devel-Dumpvar-1.06|1.06|PASS|ADAMK|Devel-Dumpvar-1.06|1.06|PASS
Devel-FindPerl|LEONT|Devel-FindPerl-0.015|0.015|PASS|LEONT|Devel-FindPerl-0.015|0.015|PASS
Devel-GlobalDestruction|HAARG|Devel-GlobalDestruction-0.14|0.14|PASS|HAARG|Devel-GlobalDestruction-0.14|0.14|PASS
Devel-GlobalPhase|HAARG|Devel-GlobalPhase-0.003003|0.003003|PASS|HAARG|Devel-GlobalPhase-0.003003|0.003003|PASS
Devel-Hide|FERREIRA|Devel-Hide-0.0010|0.0010|PASS|FERREIRA|Devel-Hide-0.0010|0.0010|PASS
Devel-Hook|FERREIRA|Devel-Hook-0.011|0.011|PASS|FERREIRA|Devel-Hook-0.011|0.011|PASS
Devel-KYTProf|SONGMU|Devel-KYTProf-0.9993|0.9993|PASS|SONGMU|Devel-KYTProf-0.9993|0.9993|PASS
Devel-LexAlias|RCLAMP|Devel-LexAlias-0.05|0.05|PASS|RCLAMP|Devel-LexAlias-0.05|0.05|PASS
Devel-NYTProf|TIMB|Devel-NYTProf-6.06|6.06|PASS|TIMB|Devel-NYTProf-6.06|6.06|PASS
Devel-OverloadInfo|ILMARI|Devel-OverloadInfo-0.005|0.005|PASS|ILMARI|Devel-OverloadInfo-0.005|0.005|PASS
Devel-OverrideGlobalRequire|DAGOLDEN|Devel-OverrideGlobalRequire-0.001|0.001|PASS|DAGOLDEN|Devel-OverrideGlobalRequire-0.001|0.001|PASS
Devel-PartialDump|ETHER|Devel-PartialDump-0.20|0.20|PASS|ETHER|Devel-PartialDump-0.20|0.20|PASS
Devel-PatchPerl|BINGOS|Devel-PatchPerl-1.64|1.64|PASS|BINGOS|Devel-PatchPerl-1.64|1.64|PASS
Devel-Platform-Info|BARBIE|Devel-Platform-Info-0.16|0.16|PASS|BARBIE|Devel-Platform-Info-0.16|0.16|PASS
Devel-Pragma|CHOCOLATE|Devel-Pragma-1.1.0|1.1.0|PASS|CHOCOLATE|Devel-Pragma-1.1.0|1.1.0|PASS
Devel-REPL|ETHER|Devel-REPL-1.003028|1.003028|PASS|ETHER|Devel-REPL-1.003028|1.003028|PASS
Devel-Refactor|SSOTKA|Devel-Refactor-0.05|0.05|PASS|SSOTKA|Devel-Refactor-0.05|0.05|PASS
Devel-Refcount|PEVANS|Devel-Refcount-0.10|0.10|PASS|PEVANS|Devel-Refcount-0.10|0.10|PASS
Devel-Size|NWCLARK|Devel-Size-0.83|0.83|PASS|NWCLARK|Devel-Size-0.83|0.83|PASS
Devel-StackTrace|DROLSKY|Devel-StackTrace-2.04|2.04|PASS|DROLSKY|Devel-StackTrace-2.04|2.04|PASS
Devel-StackTrace-AsHTML|MIYAGAWA|Devel-StackTrace-AsHTML-0.15|0.15|PASS|MIYAGAWA|Devel-StackTrace-AsHTML-0.15|0.15|PASS
